Allele,Marker,Frequency,Population,Sample_Size
27,...27,0.00211864406779661,"1036 revised Hispanic,",=236
27.2,...27,0.07627118644067797,"1036 revised Hispanic,",=236
27.3,...27,0.00211864406779661,"1036 revised Hispanic,",=236
28,...10,0.09957627118644068,"1036 revised Hispanic,",=236
28,...22,0.00211864406779661,"1036 revised Hispanic,",=236
28.2,...27,0.06779661016949153,"1036 revised Hispanic,",=236
29,...10,0.2076271186440678,"1036 revised Hispanic,",=236
29,...22,0.00211864406779661,"1036 revised Hispanic,",=236
29.2,...10,0.00211864406779661,"1036 revised Hispanic,",=236
29.2,...27,0.0614406779661017,"1036 revised Hispanic,",=236
30,...10,0.2733050847457627,"1036 revised Hispanic,",=236
30,...22,0.00211864406779661,"1036 revised Hispanic,",=236
30,...27,0.00211864406779661,"1036 revised Hispanic,",=236
30.2,...10,0.023305084745762712,"1036 revised Hispanic,",=236
30.2,...27,0.04025423728813559,"1036 revised Hispanic,",=236
31,...10,0.07627118644067797,"1036 revised Hispanic,",=236
31.2,...10,0.09957627118644068,"1036 revised Hispanic,",=236
31.2,...27,0.012711864406779662,"1036 revised Hispanic,",=236
32,...10,0.01694915254237288,"1036 revised Hispanic,",=236
32.200000000000003,...10,0.1271186440677966,"1036 revised Hispanic,",=236
32.200000000000003,...27,0.01059322033898305,"1036 revised Hispanic,",=236
33,...10,0.00423728813559322,"1036 revised Hispanic,",=236
33,...27,0.00211864406779661,"1036 revised Hispanic,",=236
33.1,...10,0.00211864406779661,"1036 revised Hispanic,",=236
33.200000000000003,...10,0.03389830508474576,"1036 revised Hispanic,",=236
33.200000000000003,...27,0.00423728813559322,"1036 revised Hispanic,",=236
34,...10,0.00211864406779661,"1036 revised Hispanic,",=236
Hobs,...2,0.728813559322034,"1036 revised Hispanic,",=236
Hobs,...3,0.7627118644067796,"1036 revised Hispanic,",=236
Hobs,...4,0.8898305084745762,"1036 revised Hispanic,",=236
Hobs,...5,0.8516949152542372,"1036 revised Hispanic,",=236
Hobs,...6,0.788135593220339,"1036 revised Hispanic,",=236
Hobs,...7,0.9067796610169492,"1036 revised Hispanic,",=236
Hobs,...8,0.7796610169491526,"1036 revised Hispanic,",=236
Hobs,...9,0.8813559322033898,"1036 revised Hispanic,",=236
Hobs,...10,0.864406779661017,"1036 revised Hispanic,",=236
Hobs,...11,0.7330508474576272,"1036 revised Hispanic,",=236
Hobs,...12,0.8516949152542372,"1036 revised Hispanic,",=236
Hobs,...13,0.7542372881355932,"1036 revised Hispanic,",=236
Hobs,...14,0.7330508474576272,"1036 revised Hispanic,",=236
Hobs,...15,0.7372881355932204,"1036 revised Hispanic,",=236
Hobs,...16,0.8898305084745762,"1036 revised Hispanic,",=236
Hobs,...17,0.8220338983050848,"1036 revised Hispanic,",=236
Hobs,...18,0.7838983050847458,"1036 revised Hispanic,",=236
